Timestamp,Temperature (Celsius),Temperature (Fahrenheit)
2023-07-31 12:00:00,25.5,77.9
2023-07-31 12:05:00,26.0,78.8
2023-07-31 12:10:00,25.8,78.4
2023-07-31 12:15:00,26.2,79.2
2023-07-31 12:20:00,25.9,78.6
2023-07-31 12:25:00,25.7,78.3
2023-07-31 12:30:00,26.1,78.9
2023-07-31 12:35:00,26.5,79.7
2023-07-31 12:40:00,26.3,79.3
2023-07-31 12:45:00,26.8,80.2
2023-07-31 12:50:00,26.6,79.9
2023-07-31 12:55:00,27.0,80.6
2023-07-31 13:00:00,27.5,81.5
2023-07-31 13:05:00,27.2,80.9
2023-07-31 13:10:00,27.6,81.7
2023-07-31 13:15:00,27.3,81.1
2023-07-31 13:20:00,27.1,80.8
2023-07-31 13:25:00,27.8,82.0
2023-07-31 13:30:00,28.0,82.4
2023-07-31 13:35:00,28.2,82.8
2023-07-31 13:40:00,27.9,82.2
2023-07-31 13:45:00,27.7,81.9
2023-07-31 13:50:00,28.3,82.9
2023-07-31 13:55:00,28.6,83.5
2023-07-31 14:00:00,28.4,83.1
2023-07-31 14:05:00,28.9,84.0
2023-07-31 14:10:00,28.7,83.7
2023-07-31 14:15:00,28.1,82.6
2023-07-31 14:20:00,29.0,84.2
2023-07-31 14:25:00,29.2,84.6
2023-07-31 14:30:00,29.5,85.1